EY,CFTP,ln_MV,DY,BTME,DTE,HSI
0.296612293,0.153439577,26.22098796,7.025286308,0.487526517,3.862674734,0
0.203984093,0.564925925,24.50811207,4.814787789,1.614350795,1.52294128,0
0.079840627,0.349554804,22.88811272,2.343749948,0.396636438,0.332008796,0
0.075434574,-0.287896437,24.10343144,0,3.979839023,3.43682997,0
0.096216705,0.062469565,25.46738726,5.678016982,1.029593979,0.251175084,1
0.053935343,0.037926844,25.09340622,3.723334257,4.053269206,1.190993351,1
0.138949498,0.276524438,22.91320692,7.584269406,0.774479563,1.346727543,0
0.139052817,-0.178550978,23.28051512,0,0.611837035,0.067912497,0
0.070206345,0.416090992,24.90841985,1.677731849,0.939213295,2.395660102,0
-0.010804508,-0.054670737,24.02243918,0,1.670981165,0.047973558,0
0.165669969,-0.464354079,22.88822486,5.038978596,1.293406356,0.817085159,0
0.033566673,0.025671572,24.82903983,0.956180282,3.436143037,0.324703518,0
0.285273505,0.239449405,22.84230941,5.854700833,0.718754779,0.15735644,0
0.118990211,0.026968589,24.32427571,4.802095383,0.72239476,1.464000331,0
0.117668189,0.2966957,24.09998417,4.40326096,0.898336967,0.301968525,0
-0.610061438,-0.195035653,22.53944906,0,52.12312961,30.45724612,0
0.1153585,-0.015145535,23.16411157,3.754699397,0.616952154,0.50868635,0
0.151293486,0.162337419,26.55410925,8.43911233,0.853051318,0.119883013,1
-0.008695193,0.058682844,22.71168424,0,3.898706103,0.180031453,0
0.04017874,0.0201017,25.33867029,1.173602558,5.01471291,0.025805295,1
0.344889753,-1.386359982,22.89599558,10.06825894,0.465504174,1.061715409,0
0.116960375,0.220862594,24.83785859,3.374579242,1.18314328,0.716658535,0
0.14664382,0.05321817,26.1103415,3.957585643,1.205143936,0.585381915,1
0.18606695,-0.152488117,22.96236538,6.010362521,0.431450939,0.634820809,0
0.049421929,0.050369486,23.82570203,2.460202674,4.005137862,1.079532612,0
0.172133766,0.215640135,25.87355758,4.501612684,0.5010321,0.240061789,1
0.209859681,0.274871462,24.28333211,6.886657269,0.949869791,0.329807888,0
0.068454015,0.051988483,25.02462563,4.753521001,37.14602,19.70928086,0
0.044221503,0.108798235,24.13770052,0.857189772,0.822626945,1.075847881,0
0.054565219,0.093765763,22.60704129,1.920289883,2.960204661,2.65024122,0
0.096703689,0.074030912,24.75034852,4.327134116,1.323974346,0.563182014,0
